Selected,Département - First value,Département,Selected (1),Population - First value,Capacité de l’établissement par formation - Sum,place per habitant
No,Ain,Ain,No,649654,231,0.000355574
No,Aisne,Aisne,No,534286,394,0.000737433
No,Allier,Allier,No,338978,430,0.00126852
No,Alpes-Maritimes,Alpes-Maritimes,No,1080614,2254,0.00208585
No,Ardennes,Ardennes,No,271339,20,7.37085e-05
No,Ardèche,Ardèche,No,328557,325,0.000989174
No,Aube,Aube,No,311623,515,0.00165264
No,Aude,Aude,No,370245,224,0.000605005
No,Aveyron,Aveyron,No,281082,328,0.00116692
No,Bas-Rhin,Bas-Rhin,No,1125279,1405,0.00124858
No,Bouches-du-Rhône,Bouches-du-Rhône,No,2043941,3405,0.0016659
No,Calvados,Calvados,No,695818,1088,0.00156363
No,Cantal,Cantal,No,144240,100,0.000693289
No,Charente,Charente,No,351971,277,0.000786997
No,Charente-Maritime,Charente-Maritime,No,648183,510,0.000786815
No,Cher,Cher,No,304794,371,0.00121722
No,Corrèze,Corrèze,No,241891,265,0.00109553
No,Corse-du-Sud,Corse-du-Sud,No,159894,17,0.00010632
No,Côte-d'Or,Côte-d'Or,No,536837,1278,0.00238061
No,Côtes-d'Armor,Côtes-d'Armor,No,598715,1266,0.00211453
No,Deux-Sèvres,Deux-Sèvres,No,375652,597,0.00158924
No,Dordogne,Dordogne,No,412629,145,0.000351405
No,Doubs,Doubs,No,540890,353,0.000652628
No,Drôme,Drôme,No,516172,956,0.0018521
No,Essonne,Essonne,No,1313729,572,0.000435402
No,Eure,Eure,No,610152,350,0.000573628
No,Eure-et-Loir,Eure-et-Loir,No,433983,97,0.000223511
No,Finistère,Finistère,No,910502,1954,0.00214607
No,Gard,Gard,No,748236,1189,0.00158907
No,Gers,Gers,No,191332,69,0.00036063
No,Gironde,Gironde,No,1610829,2683,0.0016656
No,Guadeloupe,Guadeloupe,No,390704,530,0.00135653
No,Guyane,Guyane,No,281612,138,0.000490036
No,Haut-Rhin,Haut-Rhin,No,767606,229,0.00029833
No,Haute-Corse,Haute-Corse,No,177902,67,0.000376612
No,Haute-Garonne,Haute-Garonne,No,1388393,4164,0.00299915
No,Haute-Loire,Haute-Loire,No,227444,383,0.00168393
No,Haute-Marne,Haute-Marne,No,175102,92,0.000525408
No,Haute-Savoie,Haute-Savoie,No,829668,689,0.000830453
No,Haute-Saône,Haute-Saône,No,234316,98,0.000418239
No,Haute-Vienne,Haute-Vienne,No,374158,465,0.00124279
No,Hautes-Pyrénées,Hautes-Pyrénées,No,227492,228,0.00100223
No,Hauts-de-Seine,Hauts-de-Seine,No,1612788,5488,0.0034028
No,Hérault,Hérault,No,1160043,1772,0.00152753
No,Ille-et-Vilaine,Ille-et-Vilaine,No,1073883,3817,0.00355439
No,Indre,Indre,No,218508,52,0.000237978
No,Indre-et-Loire,Indre-et-Loire,No,611139,1156,0.00189155
No,Isère,Isère,No,1272816,1051,0.000825728
No,Jura,Jura,No,259393,279,0.00107559
No,La Réunion,La Réunion,No,865826,683,0.000788842
No,Landes,Landes,No,411757,114,0.000276862
No,Loir-et-Cher,Loir-et-Cher,No,332601,122,0.000366806
No,Loire,Loire,No,762495,751,0.000984924
No,Loire-Atlantique,Loire-Atlantique,No,1413341,4617,0.00326673
No,Loiret,Loiret,No,681497,859,0.00126046
No,Lot,Lot,No,171463,56,0.000326601
No,Lot-et-Garonne,Lot-et-Garonne,No,333230,159,0.000477148
No,Lozère,Lozère,No,75463,461,0.00610895
No,Maine-et-Loire,Maine-et-Loire,No,820655,4636,0.00564915
No,Manche,Manche,No,496972,298,0.000599631
No,Marne,Marne,No,573253,1474,0.00257129
No,Martinique,Martinique,No,371246,644,0.0017347
No,Mayenne,Mayenne,No,306323,867,0.00283035
No,Mayotte,Mayotte,No,259154,8,3.08697e-05
No,Meurthe-et-Moselle,Meurthe-et-Moselle,No,733085,889,0.00121268
No,Meuse,Meuse,No,187372,66,0.00035224
No,Morbihan,Morbihan,No,753543,1480,0.00196406
No,Moselle,Moselle,No,1038558,786,0.000756819
No,Nièvre,Nièvre,No,205942,165,0.000801196
No,Nord,Nord,No,2613874,13856,0.00530094
No,Oise,Oise,No,829839,917,0.00110503
No,Orne,Orne,No,282516,455,0.00161053
No,Paris,Paris,No,2168462,12575,0.00579904
No,Pas-de-Calais,Pas-de-Calais,No,1475142,1772,0.00120124
No,Puy-de-Dôme,Puy-de-Dôme,No,655185,981,0.00149729
No,Pyrénées-Atlantiques,Pyrénées-Atlantiques,No,677189,1055,0.00155791
No,Pyrénées-Orientales,Pyrénées-Orientales,No,482131,318,0.000659572
No,Rhône,Rhône,No,1878095,10469,0.00557427
No,Sarthe,Sarthe,No,566901,619,0.0010919
No,Savoie,Savoie,No,433755,151,0.000348123
No,Saône-et-Loire,Saône-et-Loire,No,553129,177,0.000319998
No,Seine-Maritime,Seine-Maritime,No,1257009,2275,0.00180985
No,Seine-Saint-Denis,Seine-Saint-Denis,No,1646105,903,0.000548568
No,Seine-et-Marne,Seine-et-Marne,No,1422736,460,0.000323321
No,Somme,Somme,No,570195,971,0.00170293
No,Tarn,Tarn,No,392407,286,0.000728835
No,Tarn-et-Garonne,Tarn-et-Garonne,No,262582,126,0.00047985
No,Territoire de Belfort,Territoire de Belfort,No,144479,186,0.00128738
No,Val-d'Oise,Val-d'Oise,No,1242746,1656,0.00133253
No,Val-de-Marne,Val-de-Marne,No,1401228,3362,0.00239932
No,Var,Var,No,1071832,779,0.000726793
No,Vaucluse,Vaucluse,No,566096,321,0.000567042
No,Vendée,Vendée,No,680191,2315,0.00340346
No,Vienne,Vienne,No,438136,372,0.000849051
No,Vosges,Vosges,No,364873,173,0.000474138
No,Yonne,Yonne,No,338303,119,0.000351756
No,Yvelines,Yvelines,No,1438440,2595,0.00180404
