Département,Dont effectif des admis boursiers néo bacheliers - Sum,Effectif des admis néo bacheliers - Sum
string,continuous,continuous
meta,,
,553,1608
Ain,277,1153
Aisne,495,1673
Allier,287,1328
Alpes-Maritimes,1954,8679
Alpes-de-Haute-Provence,53,201
Ardennes,234,714
Ardèche,120,415
Ariège,60,187
Aube,475,1925
Aude,292,851
Aveyron,191,938
Bas-Rhin,2155,10301
Bouches-du-Rhône,4807,16231
Calvados,1266,6681
Cantal,81,375
Charente,227,1065
Charente-Maritime,508,2951
Cher,243,1056
Corrèze,223,1119
Corse-du-Sud,37,177
Creuse,88,268
Côte-d'Or,1293,6304
Côtes-d'Armor,416,2502
Deux-Sèvres,180,944
Dordogne,207,852
Doubs,1047,4930
Drôme,574,2321
Essonne,1737,7149
Eure,270,1042
Eure-et-Loir,204,739
Finistère,1070,6445
Gard,1316,3976
Gers,87,363
Gironde,2931,14503
Guadeloupe,1490,2939
Guyane,773,1505
Haut-Rhin,788,2722
Haute-Corse,298,1210
Haute-Garonne,4319,18153
Haute-Loire,106,470
Haute-Marne,96,343
Haute-Savoie,416,2597
Haute-Saône,95,322
Haute-Vienne,872,3889
Hautes-Alpes,51,303
Hautes-Pyrénées,223,1232
Hauts-de-Seine,2484,12479
Hérault,3480,11966
Ille-et-Vilaine,2058,11513
Indre,139,521
Indre-et-Loire,1261,6151
Isère,1961,9428
Jura,99,549
La Réunion,3935,7556
Landes,134,666
Loir-et-Cher,244,1037
Loire,1460,5529
Loire-Atlantique,1799,10630
Loiret,1138,4805
Lot,90,364
Lot-et-Garonne,261,946
Lozère,70,339
Maine-et-Loire,1387,8182
Manche,173,962
Marne,1367,6294
Martinique,888,2099
Mayenne,214,1255
Mayotte,707,1211
Meurthe-et-Moselle,1641,7968
Meuse,77,289
Morbihan,661,3864
Moselle,1475,5612
Nièvre,149,682
Nord,6624,28394
Oise,561,2410
Orne,165,678
Paris,8840,42166
Pas-de-Calais,2175,7182
Puy-de-Dôme,1541,7009
Pyrénées-Atlantiques,827,4370
Pyrénées-Orientales,708,2202
Rhône,4976,23540
Sarthe,698,3070
Savoie,424,2545
Saône-et-Loire,302,1316
Seine-Maritime,2632,11035
Seine-Saint-Denis,3828,10091
Seine-et-Marne,1638,6711
Somme,1602,6532
Tarn,484,1862
Tarn-et-Garonne,152,507
Territoire de Belfort,210,960
Val-d'Oise,1731,6457
Val-de-Marne,3095,12014
Var,1034,3934
Vaucluse,903,2434
Vendée,329,2138
Vienne,1084,5362
Vosges,238,891
Yonne,146,569
Yvelines,1258,7079
